Target,Accessions
Beta-arrestin-1,P49407
Transcription factor ETV6/Tyrosine-protein kinase ABL1,P00519|P41212
Guanine nucleotide-binding protein G(q) subunit alpha,P50148
Cytochrome P450 4Z1,Q86W10
Cyclin-dependent kinase 12/13,Q14004|Q9NYV4
Casein kinase I delta/epsilon,P48730|P49674
Rod cGMP-specific 3',5'-cyclic phosphodiesterase alpha/beta,P35913|P16499
ADP-ribosylation factor 6,P62330
ORAI 1/2/3,Q96D31|Q96SN7|Q9BRQ5
Sodium channel protein type 5 subunit alpha/beta-1/beta-2,Q14524|O60939|Q07699
Puromycin-sensitive aminopeptidase,P55786
Induced myeloid leukemia cell differentiation protein Mcl-1/Phorbol-12-myristate-13-acetate-induced protein 1,Q07820|Q13794
Insulin,P01308
Glycine N-methyltransferase,Q14749
Long-chain fatty acid transport protein 5,Q9Y2P5
NACHT, LRR and PYD domains-containing protein 1,Q9C000
Phospholipase A-2-activating protein,Q9Y263
Regulator of G-protein signaling 8,P57771
N-acetyllactosaminide beta-1,3-N-acetylglucosaminyltransferase 2,Q9NY97
Bifunctional arginine demethylase and lysyl-hydroxylase JMJD6,Q6NYC1
Sulfotransferase 1A1,P50225
Neuronal acetylcholine receptor; alpha2/beta4,P30926|Q15822
Multidrug resistance associated protein,Q96QA9
Protein tyrosine phosphatase type IVA 1,Q93096
MLL1-ASH2L/RbBP5/WDR5/DPY30,P61964|Q03164|Q9UBL3|Q15291|Q9C005
Nicotinic acetylcholine receptor alpha3/betaX,P11230|P17787|P30926|P32297|Q05901
Phosphodiesterase 4 and 5 (PDE4 and PDE5),O76074|P27815|Q08499|Q07343|Q08493
Interleukin-15,P40933
von Hippel-Lindau disease tumor suppressor/Histone deacetylase 2,Q92769|P40337
Peptidyl-prolyl cis-trans isomerase F, mitochondrial,P30405
Delta-aminolevulinic acid dehydratase,P13716
Threonylcarbamoyladenosine tRNA methylthiotransferase,Q5VV42
Cyclin-dependent kinase 1/ G1/S-specific cyclin-D3,P06493|P30281
Mitogen-activated protein kinase kinase kinase 21,Q5TCX8
Protein cereblon/Wee1-like protein kinase,P30291|Q96SW2
Kallikrein-4,Q9Y5K2
Methionine synthase,Q99707
Solute carrier family 12 member 2,P55011
Thiopurine S-methyltransferase,P51580
Phosphatidylinositol 3,4,5-trisphosphate 5-phosphatase 1,Q92835
Cytosolic purine 5'-nucleotidase,P49902
Alpha-crystallin B chain,P02511
Long-chain fatty acid transport protein 2,O14975
Transmembrane 4 L6 family member 5,O14894
Protein cereblon/Cyclic GMP-AMP synthase,Q96SW2|Q8N884
DNA oxidative demethylase ALKBH2,Q6NS38
Ubiquitin carboxyl-terminal hydrolase 36,Q9P275
Gamma-aminobutyric acid receptor subunit alpha-5/beta-2/gamma-2,P47870|P18507|P31644
Peptidyl-glycine alpha-amidating monooxygenase,P19021
Interferon-induced guanylate-binding protein 1/Serine/threonine-protein kinase pim-1,P11309|P32455
Membrane metallo-endopeptidase-like 1,Q495T6
Insulin-like growth factor-binding protein 3,P17936
Anoctamin-2,Q9NQ90
Protein cereblon/Stimulator of interferon genes protein,Q96SW2|Q86WV6
Glutamate receptor ionotropic, kainate 3,Q13003
Placenta growth factor,P49763
Bifunctional peptidase and arginyl-hydroxylase JMJD5,Q8N371
Bis(5'-adenosyl)-triphosphatase,P49789
Perilipin-1/ABHD5,Q8WTS1|O60240
Protein cereblon/Apoptosis regulator Bcl-2,P10415|Q96SW2
POU domain, class 2, transcription factor 1,P14859
Immunoglobulin lambda variable 6-57,P01721
1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase gamma-2,P16885
Sarcoplasmic/endoplasmic reticulum calcium ATPase 1,O14983
Matrix metalloproteinase-15,P51511
Succinate dehydrogenase [ubiquinone] iron-sulfur subunit, mitochondrial,P21912
1-acylglycerol-3-phosphate O-acyltransferase ABHD5/Perilipin-5,Q00G26|Q8WTS1
Protein cereblon/Histone-lysine N-methyltransferase EZH2,Q15910|Q96SW2
CDK2/Cyclin-E2,P24941|O96020
RuvB-like 2,Q9Y230
Peptidyl-prolyl cis-trans isomerase FKBP1B,P68106
Krueppel-like factor 10,Q13118
Voltage-dependent L-type calcium channel subunit alpha-1S,Q13698
von Hippel-Lindau disease tumor suppressor/Histone deacetylase 1,Q13547|P40337
Kinesin heavy chain isoform 5A,Q12840
Taste receptor type 2 member 39,P59534
Dual specificity protein phosphatase CDC14A,Q9UNH5
POU domain, class 5, transcription factor 1,Q01860
Phospholipid transfer protein,P55058
Protein cereblon/Cyclin-dependent kinase 2,P24941|Q96SW2
Histone chaperone ASF1A,Q9Y294
Inactive serine/threonine-protein kinase 19,P49842
NKGD2-MICA,P26718|Q29983
NKGD2-ULBP6,P26718|Q5VY80
Histone deacetylase 1/3/5/8,Q13547|O15379|Q9UQL6|Q9BY41
Carbonyl reductase [NADPH] 1,P16152
Interleukin-6 receptor subunit beta,P40189
Serine/threonine-protein kinase greatwall,Q96GX5
Serine/threonine-protein kinase Nek8,Q86SG6
Protein arginine N-methyltransferase 9,Q6P2P2
Homeobox protein Meis1,O00470
Potassium channel subfamily K member 10,P57789
Cullin-4A,Q13619
Sodium channel protein type 9 subunit alpha/beta-1/beta-2,Q15858|O60939|Q07699
Histone-lysine N-methyltransferase 2C,Q8NEZ4
Epithelial sodium channel subunit alpha,P37088
AMP deaminase 3,Q01432
Small ubiquitin-related modifier 2,P61956
Thrombospondin-1,P07996
5-hydroxymethyl-dUMP N-hydrolase,O43598
UDP-glucuronosyltransferase 2A1,P0DTE4
Protein cereblon/B-cell lymphoma 6 protein,Q96SW2|P41182
Heat shock-related 70 kDa protein 2,P54652
TGF-beta-activated kinase 1 and MAP3K7-binding protein 1,Q15750
GABA-A receptor; GABA-A site (alpha1/beta2 interface),P14867|P47870
Choline/ethanolamine kinase,Q9Y259
Solute carrier family 26 member 6,Q9BXS9
Protein cereblon/Cyclin-dependent kinase 13,Q14004|Q96SW2
C-C motif chemokine 5,P13501
Cytochrome c oxidase subunit 1,P00395
Lymphocyte cytosolic protein 2,Q13094
Galectin-2,P05162
Glutathione S-transferase Mu 1,P09488
Cathepsin (V and K),P43235|O60911
Ubiquitin carboxyl-terminal hydrolase BAP1,Q92560
Protein farnesyltransferase subunit beta,P49356
Lysophosphatidic acid receptor 4,Q99677
von Hippel-Lindau disease tumor suppressor/Bcl-2-like protein 1,Q07817|P40337
Natural resistance-associated macrophage protein 1,P49279
Melanocortin receptor (M4 and M5),P32245|P33032
Phosphorylase kinase,P15735|P46020|P46019|Q93100|Q16816
DDB1- and CUL4-associated factor 1,Q9Y4B6
Nuclear receptor subfamily 2 group C member 2/TGF-beta-activated kinase 1 and MAP3K7-binding protein 1,Q15750|P49116
Chromobox protein homolog 5,P45973
Glutaminase liver isoform, mitochondrial,Q9UI32
Adenylate cyclase,Q8NFM4|O60503|Q08828|P40145|O60266|O95622|O43306|Q08462|P51828
Gastricsin,P20142
Inositol hexakisphosphate kinase 3,Q96PC2
GMP reductase 2,Q9P2T1
Peroxiredoxin-1,Q06830
Integrin alpha-V/beta-3 and alpha-IIb/beta 3,P05106|P06756|P08514
SUMO-activating enzyme subunit 1,Q9UBE0
Kynurenine--oxoglutarate transaminase 1,Q16773
HAT1/Rbap46,Q16576|O14929
Microtubule-associated protein 2,P11137
Choline/ethanolaminephosphotransferase 1,Q9Y6K0
P2X purinoceptor 5,Q93086
Bcl-xL/Bcl-2-like protein 11,Q07817|O43521
A disintegrin and metalloproteinase with thrombospondin motifs 7,Q9UKP4
Ubiquitin carboxyl-terminal hydrolase 10,Q14694
Beta-N-acetyl-D-hexosaminidase-A/B,P07686|P06865
Interferon regulatory factor 4,Q15306
Apolipoprotein B-100,P04114
Glycylpeptide N-tetradecanoyltransferase 2,O60551
VEGF-receptor 2 and Fibroblast growth factor receptor 1,P35968|P11362
Serotonin (5-HT) receptor,P30939|P41595|Q13639|P28222|P46098|P08908|P28221|P28223|P28335|P28566|P34969|P50406|P47898|A5X5Y0|O95264|Q70Z44|Q8WXA8
Cytosolic phospholipase A2 beta,P0C869
Macrophage-expressed gene 1 protein,Q2M385
Gamma-aminobutyric acid receptor subunit alpha-4/beta3/delta,P28472|P48169|O14764
Probable G-protein coupled receptor 132,Q9UNW8
N-type calcium channel alpha-1b/alpha2delta-1/beta-1b,P54289|Q00975|Q02641
Laforin,O95278
Peroxisomal N(1)-acetyl-spermine/spermidine oxidase,Q6QHF9
Retinoblastoma-associated protein,P06400
Heme oxygenase 1,P09601
Sodium-dependent organic anion transporter,Q3KNW5
Cytosolic endo-beta-N-acetylglucosaminidase,Q8NFI3
Apoptosis regulator BAX,Q07812
Neutral ceramidase,Q9NR71
NADH-cytochrome b5 reductase,P00387
Melanin-concentrating hormone receptor,Q969V1|Q99705
Annexin A3,P12429
Pyroglutamyl-peptidase 1,Q9NXJ5
Glycine receptor (alpha-1/beta),P23415|P48167
Retinoid X receptor,P28702|P48443|P19793
Sal-like protein 4,Q9UJQ4
NADP-dependent malic enzyme, mitochondrial,Q16798
Apoptosis regulator Bcl-2/Beclin-1,P10415|Q14457
Dual specificity protein phosphatase 6,Q16828
Proton-coupled amino acid transporter 1,Q7Z2H8
Chondroitin sulfate N-acetylgalactosaminyltransferase 1,Q8TDX6
Ubiquitin carboxyl-terminal hydrolase isozyme L3,P15374
Integrin alpha-IIb,P08514
Voltage-dependent L-type calcium channel alpha1C/alpha2delta/beta1b,P54289|Q13936|Q02641
Arylamine N-acetyltransferase 1,P18440
Caspase-3/Caspase-7,P42574|P55210
ADP-ribosylhydrolase ARH3,Q9NX46
Nicotinic acetylcholine receptor alpha4/beta2/alpha5,P17787|P43681|P30532
Inosine-5'-monophosphate dehydrogenase (IMPDH),P20839|P12268
Sentrin-specific protease 5,Q96HI0
Glomulin,Q92990
Guanine nucleotide-binding protein subunit alpha-11,P29992
Small ribosomal subunit protein eS6,P62753
Kinesin-like protein KIF23,Q02241
Long-chain fatty acid transport protein 4,Q6P1M0
Natural resistance-associated macrophage protein 2,P49281
Protein cereblon/Histone deacetylase 8,Q9BY41|Q96SW2
Hepatocyte growth factor-like protein,P26927
Matrix metalloproteinase (2 and 3),P08254|P08253
Cytochrome P450 1A,P04798|P05177
Calmodulin-1,P0DP23
Prostatic acid phosphatase,P15309
Corticosteroid-binding globulin,P08185
NAD kinase,O95544
mRNA cap guanine-N(7) methyltransferase,O43148
Rho-related GTP-binding protein RhoB,P62745
2-Hydroxyacid oxidase 2,Q9NYQ3
E3 ubiquitin-protein ligase pellino homolog 1,Q96FA3
Nucleic acid dioxygenase ALKBH1,Q13686
Nuclear body protein SP140,Q13342
Cytochrome P450 2A13,Q16696
CDK1/Cyclin E,P06493|P24864
Receptor-type tyrosine-protein phosphatase gamma,P23470
Chromosome-associated kinesin KIF4A,O95239
IKK epsilon/TBK1,Q14164|Q9UHD2
Myelin transcription factor 1,Q01538
von Hippel-Lindau disease tumor suppressor/Estrogen receptor,P03372|P40337
Protein cereblon/Bromodomain-containing protein 9,Q9H8M2|Q96SW2
Eukaryotic peptide chain release factor GTP-binding subunit ERF3B,Q8IYD1
17-beta-hydroxysteroid dehydrogenase 14,Q9BPX1
CRY2/PER2,O15055|Q49AN0
Sulfotransferase 1E1,P49888
Granzyme A,P12544
Bromodomain and WD repeat-containing protein 1,Q9NSI6
C-type lectin domain family 4 member E,Q9ULY5
Zinc finger protein Helios,Q9UKS7
Sodium-dependent proline transporter,Q99884
Neurogenic locus notch homolog protein 3,Q9UM47
Testis-specific chromodomain protein Y 1,Q9Y6F8
NADPH oxidase 5,Q96PH1
Dipeptidase 1,P16444
Beta-mannosidase,O00462
Interferon regulatory factor 3,Q14653
Serotransferrin,P02787
Protein cereblon/Focal adhesion kinase 1,Q05397|Q96SW2
JAK2/TYK2,O60674|P29597
Oxysterol-binding protein 1,P22059
Phospholipase A and acyltransferase 3,P53816
ATP-binding cassette sub-family C member 9,O60706
Cytochrome P450 26B1,Q9NR63
Beta-secretase (BACE),Q9Y5Z0|P56817
Phospholipase A and acyltransferase 2,Q9NWW9
Phospholipase A and acyltransferase 5,Q96KN8
Branched-chain alpha-ketoacid dehydrogenase kinase,O14874
Olfactory receptor 5K1,Q8NHB7
WDR5-MYC,P61964|P01106
HLA class II histocompatibility antigen, DRB1-15 beta chain,P01911
EF-hand calcium-binding domain-containing protein 4B,Q9BSW2
Nectin-4,Q96NY8
RuvB-like 1,Q9Y265
Parkinson disease protein 7,Q99497
5'-AMP-activated protein kinase subunit beta-1,Q9Y478
Histone-lysine N-methyltransferase KMT5C,Q86Y97
Lysosomal alpha-mannosidase,O00754
Prohibitin-2,Q99623
Aspartyl/asparaginyl beta-hydroxylase,Q12797
AMPK alpha1/beta2/gamma1,O43741|P54619|Q13131
Dual specificity protein phosphatase 1,P28562
RXR alpha/PPAR gamma,P37231|P19793
Protein cereblon/Cyclin-dependent kinase 4,P11802|Q96SW2
Betaine--homocysteine S-methyltransferase 1,Q93088
Sphingolipid delta(4)-desaturase DES1,O15121
Phospholipase A and acyltransferase 4,Q9UL19
Histone-lysine N-methyltransferase PRDM9,Q9NQV7
Chromodomain-helicase-DNA-binding protein 1,O14646
Sarcoplasmic/endoplasmic reticulum calcium ATPase 2,P16615
Transcriptional coactivator YAP1/Transcriptional enhancer factor TEF-1,P46937|P28347
Protein cereblon/Poly [ADP-ribose] polymerase 1,P09874|Q96SW2
G-protein coupled receptor 3,P46089
Protein max,P61244
Programmed cell death protein 4,Q53EL6
CDK18/Cyclin Y,Q07002|Q8ND76
Pepsin A,P0DJD9
14-3-3 protein gamma,P61981
Presequence protease, mitochondrial,Q5JRX3
Pendrin,O43511
NEDD8-activating enzyme E1 regulatory subunit,Q13564
Serine/threonine-protein kinase SMG1,Q96Q15
Protein S100-A9,P06702
Cytosolic beta-glucosidase,Q9H227
Nuclear receptor subfamily 4 group A member 3,Q92570
Neprilysin/Angiotensin-converting enzyme,P12821|P08473
Dipeptidyl peptidase 8/9,Q6V1X1|Q86TI2
Transcriptional coactivator YAP1,P46937
Scavenger receptor class B member 1,Q8WTV0
Solute carrier family 22 member 11,Q9NSA0
Chloride channel protein 2,P51788
Adenylate cyclase type 10,Q96PN6
AMPK alpha2/beta2/gamma1,P54646|O43741|P54619
Ionotropic glutamate receptor NMDA 1/2D,Q05586|O15399
Proton-coupled folate transporter,Q96NT5
Stress-70 protein, mitochondrial,P38646
BAG family molecular chaperone regulator 3,O95817
Telomeric repeat-binding factor 2,Q15554
Protein mono-ADP-ribosyltransferase PARP4,Q9UKK3
Speckle-type POZ protein,O43791
von Hippel-Lindau disease tumor suppressor/Son of sevenless homolog 1,Q07889|P40337
Hexokinase-2,P52789
Ionotropic glutamate receptor NMDA 1/2C,Q05586|Q14957
Cytidine deaminase,P32320
Vasopressin V1 receptor,P37288|P47901
Presenilin-associated rhomboid-like protein, mitochondrial,Q9H300
Thioredoxin,P10599
Frizzled-1,Q9UP38
Protein cereblon/E3 ubiquitin-protein ligase Mdm2,Q00987|Q96SW2
Early activation antigen CD69,Q07108
N-acetylated-alpha-linked acidic dipeptidase 2,Q9Y3Q0
Guanine nucleotide-binding protein G(i) subunit alpha-1/Regulator of G-protein signaling 12,P63096|O14924
Aldehyde dehydrogenase X, mitochondrial,P30837
Protein-cysteine N-palmitoyltransferase HHAT,Q5VTY9
CD209 antigen,Q9NNX6
Cathepsin Z,Q9UBR2
Angiotensin-converting enzyme,P12821|Q9BYF1
Erythropoietin receptor,P19235
Nuclear factor of activated T-cells, cytoplasmic 1,O95644
Histone-lysine N-methyltransferase KMT5B,Q4FZB7
Protein mono-ADP-ribosyltransferase PARP6,Q2NL67
Receptor-type tyrosine-protein phosphatase epsilon,P23469
SH2 domain-containing protein 1A,O60880
Lipopolysaccharide-induced tumor necrosis factor-alpha factor,Q99732
Protein cereblon/Protein deacetylase HDAC6,Q9UBN7|Q96SW2
Tumor necrosis factor ligand superfamily member 11,O14788
Microtubule-associated protein 1 light chain 3 alpha,Q9H492
YTH domain-containing protein 1,Q96MU7
Glutamate receptor ionotropic kainate,P39086|Q16478|Q16099|Q13002|Q13003
Sulfide:quinone oxidoreductase, mitochondrial,Q9Y6N5
Protein cereblon/Mitogen-activated protein kinase kinase kinase kinase 1,Q92918|Q96SW2
26S proteasome non-ATPase regulatory subunit 10,O75832
Choline O-acetyltransferase,P28329
von Hippel-Lindau disease tumor suppressor/GTPase KRas,P01116|P40337
Potassium voltage-gated channel subfamily B member 1,Q14721
Pyrroline-5-carboxylate reductase 1, mitochondrial,P32322
Integrin alpha2/beta1,P05556|P17301
Integrin alpha-V,P06756
Probable G-protein coupled receptor 27,Q9NS67
1-acyl-sn-glycerol-3-phosphate acyltransferase alpha,Q99943
Serine/threonine-protein phosphatase 5,P53041
Protein mono-ADP-ribosyltransferase PARP12,Q9H0J9
Cathepsin (H and K),P09668|P43235
NADPH--cytochrome P450 reductase,P16435
Folate receptor beta,P14207
Baculoviral IAP repeat-containing protein 5,O15392
Protein cereblon/Signal transducer and activator of transcription 3,P40763|Q96SW2
Chromodomain Y-like protein,Q9Y232
Receptor-type tyrosine-protein phosphatase S,Q13332
Adenosine 5'-monophosphoramidase HINT1,P49773
MAPK/MAK/MRK overlapping kinase,Q9UQ07
ELAV-like protein 1,Q15717
Phosphatidylinositol 4-kinase type 2-alpha,Q9BTU6
Sodium- and chloride-dependent taurine transporter,P31641
Peroxisomal membrane protein PEX14,O75381
BTB/POZ domain-containing protein KCTD12,Q96CX2
Adrenocorticotropic hormone receptor,Q01718
SHC-transforming protein 1,P29353
Protein cereblon/Proto-oncogene tyrosine-protein kinase receptor Ret/Coiled-coil domain-containing protein 6,P07949|Q16204|Q96SW2
von Hippel-Lindau disease tumor suppressor/AKT,P31751|Q9Y243|P31749|P40337
Relaxin-3 receptor 2,Q8TDU9
Protein phosphatase 1B,O75688
Protein cereblon/Zinc finger protein Helios,Q96SW2|Q9UKS7
DNMT3A2/3L complex,Q9Y6K1|Q9UJW3
Inositol hexakisphosphate kinase 2,Q9UHH9
Proliferating cell nuclear antigen,P12004
Putative P2Y purinoceptor 10,O00398
Diamine oxidase [copper-containing],P19801
Biotinidase,P43251
Nicotinic acetylcholine receptor alpha6/alpha3/beta4,P30926|P32297|Q15825
Baculoviral IAP repeat-containing protein 7,Q96CA5
AMP deaminase 2,Q01433
Bcl-xL/BAK,Q07817|Q16611
Protein AF-9,P42568
Reduced folate transporter,P41440
Ryanodine receptor 2,Q92736
E3 SUMO-protein ligase CBX4,O00257
Protein kinase C, PKC; classical/novel,O94806|P17252|P05129|Q05655|P05771|Q02156|P24723|Q15139|Q04759
Retinoic acid receptor RXR-alpha/oxysterols receptor LXR-beta,P19793|P55055
Anti-estrogen binding site (AEBS),Q15125|Q9UBM7
Dickkopf-related protein 1,O94907
Gap junction alpha-1 protein,P17302
Cyclin-Y/Cyclin-dependent kinase 16,Q00536|Q8ND76
Ectonucleotide pyrophosphatase/phosphodiesterase family member 7,Q6UWV6
Protein cereblon/Cyclin-dependent kinase 6,Q00534|Q96SW2
Melanocortin receptor (M1 and M4),P32245|Q01726
Induced myeloid leukemia cell differentiation protein Mcl-1/BH3-interacting domain death agonist,Q07820|P55957
Protein phosphatase 1A,P35813
Protein mono-ADP-ribosyltransferase PARP11,Q9NR21
Sodium/nucleoside cotransporter 2,O43868
Serum paraoxonase/arylesterase 1,P27169
Thymic stromal lymphopoietin,Q969D9
Heat shock 70 kDa protein 6,P17066
Thyroid peroxidase,P07202
von Hippel-Lindau disease tumor suppressor/Histone deacetylase 3,O15379|P40337
Glutamyl aminopeptidase,Q07075
26S proteasome,Q99460|P49721|P20618|P28074|P28062|P28065|P28072|O00487|P25786|P25787|P25788|P25789|P28066|P60900|O14818|Q8TAA3|P40306|A5LHX3|P49720|P28070|Q99436|Q16186|P35998|P62191|P43686|P62333|P17980|P62195|Q13200|O43242|O00232|O00231|Q15008|P51665|Q9UNM6|P55036|P48556|P60896
DNA nucleotidylexotransferase,P04053
Fatty acid-binding protein, brain,O15540
Histone H4,P62805
Transketolase,P29401
Caspase-4,P49662
NAD-dependent protein lipoamidase sirtuin-4, mitochondrial,Q9Y6E7
Sialic acid-binding Ig-like lectin 7,Q9Y286
Alpha-amylase 1A,P0DUB6
Diacylglycerol lipase-beta,Q8NCG7
Complement C3,P01024
Protein cereblon/Bromodomain-containing protein 4/DNA damage-binding protein 1,O60885|Q96SW2|Q16531
Ubiquitin-conjugating enzyme E2 D3,P61077
tRNA (cytosine(38)-C(5))-methyltransferase,O14717
Peptidyl-prolyl cis-trans isomerase D,Q08752
IL15-IL15 receptor,P40933|Q13261
Nuclear receptor subfamily 2 group C member 1,P13056
GABA A receptor alpha-3/beta-2/gamma-2,P47870|P18507|P34903
Lipoprotein lipase,P06858
Protein-arginine deiminase type-3,Q9ULW8
Indolethylamine N-methyltransferase,O95050
NAD-dependent protein deacetylase sirtuin-7,Q9NRC8
Glutathione hydrolase 1 proenzyme,P19440
Ornithine decarboxylase,P11926
Phosphoethanolamine/phosphocholine phosphatase,Q8TCT1
UDP-glucuronosyltransferase 1A7,Q9HAW7
DNA polymerase subunit gamma-1,P54098
Connector enhancer of kinase suppressor of ras 1,Q969H4
Branched-chain-amino-acid aminotransferase, cytosolic,P54687
Myelin-associated glycoprotein,P20916
Potassium voltage-gated channel subfamily KQT member 4,P56696
Early growth response protein 1,P18146
JAK2/JAK1,P23458|O60674
Transmembrane protease serine 2,O15393
Bifunctional polynucleotide phosphatase/kinase,Q96T60
Neuronal acetylcholine receptor subunit alpha-3,P32297
Deoxyribonuclease-1,P24855
Solute carrier organic anion transporter family member 1A2,P46721
Cathepsin F,Q9UBX1
Butyrophilin subfamily 3 member A1,O00481
Ectonucleoside triphosphate diphosphohydrolase 8,Q5MY95
Glutamate receptor 3,P42263
C-C motif chemokine 2,P13500
